page	kāṇḍa	varga	from verse	to verse
252	1	1	1	8a
253	1	1	8b	22a
254	1	1	22b	33a
255	1	1	33b	45a
256	1	1	45b	57a
257	1	1	57b	70a
258	1	1	70b	84a
259	1	1	84b	97a
260	1	1	97b	109a
261	1	1	109b	122a
262	1	1	122b	133
263	1	2	1	13a
264	1	2	13b	26
265	1	2	27	36
266	2	1	1	14a
267	2	1	14b	20
267	2	2	1	6a
268	2	2	6b	10
268	2	3	1	6
269	2	4	1	12a
270	2	4	12b	25a
271	2	4	25b	38a
272	2	4	38b	42
272	2	5	1	7a
273	2	5	7b	20a
274	2	5	20b	33a
275	2	5	33b	37
275	2	6	1	7a
276	2	6	7b	20a
277	2	6	20b	34a
278	2	6	34b	43
278	2	7	1	1a
279	2	7	1b	15a
280	2	7	15b	28a
281	2	7	28b	31
281	2	8	1	8a
282	2	8	8b	21a
283	2	8	21b	34a
284	2	8	34b	47
285	2	8	48	61a
286	2	8	61b	62
286	2	9	1	9a
287	2	9	9b	23a
288	2	9	23b	36a
289	2	9	36b	36
289	2	10	1	11a
290	2	10	11b	18
290	3	1	1	4a
291	3	1	4b	17a
292	3	1	17b	27
292	3	2	1	1a
293	3	2	1b	15a
294	3	2	15b	28a
295	3	2	28b	29
295	3	3	1	10a
296	3	3	10b	23
297	3	3	24	37a
298	3	3	37b	51a
299	3	3	51b	64a
300	3	3	64b	78a
301	3	3	78b	90a
302	3	3	90b	104a
303	3	3	104b	116a
304	3	3	116b	129a
305	3	3	129b	142a
306	3	3	142b	156a
307	3	3	156b	169a
308	3	3	169b	182a
309	3	3	182b	195a
310	3	3	195b	208a
311	3	3	208b	221a
312	3	3	221b	234a
313	3	3	234b	248a
314	3	3	248b	261a
315	3	3	261b	274a
316	3	3	274b	287a
317	3	3	287b	300a
318	3	3	300b	313a
319	3	3	313b	326a
320	3	3	326b	339a
321	3	3	339b	353a
322	3	3	353b	366a
323	3	3	366b	379
324	3	3	380	393a
325	3	3	393b	406a
326	3	3	406b	420a
327	3	3	420b	433a
328	3	3	433b	446a
329	3	3	446b	459a
330	3	3	459b	466
330	3	4	1	4a
331	3	4	4b	6
331	3	5	1	10a
332	3	5	10b	22a
333	3	5	22b	25
