volume	page	varga	from verse	to verse	from word
I	382	k.	1	9	
I	383	k.	10	22a	ka
I	384	k.	22b	36a	Ceka
I	385	k.	36b	49a	Sulka
I	386	k.	49b	63a	ulUka
I	387	k.	63b	76a	kAmuka
I	388	k.	76b	89a	kOSikI
I	389	k.	89b	103a	jambUka
I	390	k.	103b	116a	dIpaka
I	391	k.	116b	129a	pAlaNka
I	392	k.	129b	143a	bAlikA
I	393	k.	143b	156a	yUTikA
I	394	k.	156b	170a	vitarka
I	395	k.	170b	183a	secaka
I	396	k.	183b	196	kOkkuwika
I	397	k.	197	211a	paYcAlikA
I	398	k.	211b	224a	leKanika
I	399	k.	224b	235	upakArikA
I	400	kh.	1	13a	Ka
I	401	kh.	13b	19	induleKA
I	401	g.	1	6a	go
I	402	g.	6b	20a	tuNgI
I	403	g.	20b	34a	roga
I	404	g.	34b	47a	tAtagu
I	405	g.	47b	57	visarga
I	405	gh.	1	1a	Ga
I	406	gh.	1b	10	arGa
I	406	ṅ.	1	1	Ga
I	407	c.	1	13a	ca
I	408	c.	13b	21	kavaca
I	408	ch.	1	3a	Ca
I	409	ch.	3b	5	pucCa
I	409	j.	1	9a	ja
I	410	j.	9b	22a	dvijA
I	411	j.	22b	35	kuwaja
I	412	j.	36	36	rAjarAja
I	412	jh.	1	1	Ja
I	412	ñ.	1	4	Ya
I	413	ṭ.	1	13a	wa
I	414	ṭ.	13b	26a	cawu
I	415	ṭ.	26b	39a	vAwa
I	416	ṭ.	39b	53a	kfpIwa
I	417	ṭ.	53b	66	morawA
I	418	ṭh.	1	12a	Wa
I	419	ṭh.	12b	21	jaraWa
I	419	ḍ.	1	3a	qa
I	420	ḍ.	3b	16a	krIqA
I	421	ḍ.	16b	29a	paRqa
I	422	ḍ.	29b	40	drAviqa
I	423	ḍh.	1	11	Qa
I	424	ṇ.	1	14a	Ra
I	425	ṇ.	14b	27a	trARa
I	426	ṇ.	27b	40a	vIRA
I	427	ṇ.	40b	54a	kareRu
I	428	ṇ.	54b	68a	DarzaRa
I	429	ṇ.	68b	81a	BaraRI
I	430	ṇ.	81b	95a	SrIparRI
I	431	ṇ.	95b	108a	taRquvIRa
I	432	ṇ.	108b	117	SaravARi
I	432	t.	1	2a	ta
I	433	t.	2b	15a	anta
I	434	t.	15b	29a	gIti
I	435	t.	29b	42a	nata
I	436	t.	42b	55	mata
I	437	t.	56	69a	vArtA
I	438	t.	69b	82a	svAnta
I	439	t.	82b	95a	ananta
I	440	t.	95b	108a	udanta
I	441	t.	108b	121a	jagatI
I	442	t.	121b	135a	praBUta
I	443	t.	135b	149a	pfzat
I	444	t.	149b	162a	vahatu
