page	śataka	vers from	vers to	int page
58	1	1	4	21
59	1	5	10	22
60	1	11	18	23
61	1	19	24a	24
62	1	24b	31	25
63	1	32	37	26
64	1	38	43	27
65	1	44	48	28
66	1	49	54a	29
67	1	54b	61	30
68	1	62	67a	31
69	1	67b	72	32
70	1	73	80a	33
71	1	80b	87a	34
72	1	87b	93	35
73	1	94	99	36
74	1	100	100	37
74	2	1	5a	37
75	2	5b	11	38
76	2	12	17a	39
77	2	17b	23a	40
78	2	23b	31a	41
79	2	31b	37a	42
80	2	37b	43a	43
81	2	43b	50a	44
82	2	50b	56a	45
83	2	56b	62a	46
84	2	62b	68a	47
85	2	68b	73a	48
86	2	73b	80a	49
87	2	80b	86a	50
88	2	86b	92a	51
89	2	92b	98a	52
90	2	98b	100	53
90	3	1	1	53
91	3	2	7	54
92	3	8	13	55
93	3	14	19	56
94	3	20	25a	57
95	3	25b	31a	58
96	3	31b	36	59
97	3	37	42a	60
98	3	42b	48a	61
99	3	48b	53	62
100	3	54	60a	63
101	3	60b	65	64
102	3	66	71a	65
103	3	71b	77a	66
104	3	77b	82a	67
105	3	82b	88a	68
106	3	88b	95a	69
107	3	95b	100	70
108	4	1	5	71
109	4	6	14	72
110	4	15	23	73
111	4	24	25	74
