pdfpage	adh.	from verse	to verse	ipage
24	prooemium	1	6	3
25	prooemium	7	14	4
26	prooemium	15	24	5
27	prooemium	25	34	6
28	prooemium	35	42	7
29	prooemium	43	48	8
30	I	1	3	9
31	I	4	6	10
32	I	7	14	11
33	I	15	20	12
34	I	21	28	13
35	I	29	33	14
36	I	34	38	15
37	I	39	45	16
38	I	46	48	17
39	I	49	51	18
40	I	52	57	19
41	I	58	63	20
42	I	64	67	21
43	I	68	75	22
44	I	76	81	23
45	I	82	89	24
46	I	90	94	25
47	I	95	100	26
48	I	101	102	27
49	I	103	108	28
50	I	109	115	29
51	I	116	123	30
52	I	124	130	31
53	I	131	139	32
54	I	140	147	33
55	I	148	155	34
56	I	156	161	35
57	I	162	170	36
58	I	171	180	37
59	I	181	185	38
60	I	186	188	39
61	I	189	192	40
62	I	193	197	41
63	I	198	200	42
64	I	201	204	43
65	I	205	207	44
66	II	1	5	45
67	II	6	13	46
68	II	14	18	47
69	II	19	26	48
70	II	27	30	49
71	II	31	33	50
72	II	34	42	51
73	II	43	48	52
74	II	49	56	53
75	II	57	62	54
76	II	63	71	55
77	II	72	77	56
78	II	78	81	57
79	II	82	83	58
80	II	84	85	59
81	II	86	89	60
82	II	90	98	61
83	II	99	105	62
84	II	106	106	63
85	II	107	107	64
86	II	108	108	65
87	II	109	113	66
88	II	114	116	67
89	II	117	118	68
90	II	119	124	69
91	II	125	133	70
92	II	134	139	71
93	II	140	142	72
94	II	143	146	73
95	II	147	153	74
96	II	154	160	75
97	II	161	166	76
98	II	167	174	77
99	II	175	175	78
100	III	1	3	79
101	III	4	6	80
102	III	7	9	81
103	III	10	14	82
104	III	15	16	83
105	III	17	21	84
106	III	22	23	85
107	III	24	27	86
108	III	28	32	87
109	III	33	38	88
110	III	39	45	89
111	III	46	54	90
112	III	55	57	91
113	III	58	59	92
114	III	60	63	93
115	III	64	70	94
116	III	71	81	95
117	III	82	92	96
118	III	93	97	97
119	III	98	99	98
120	III	100	100	99
121	III	101	103	100
122	III	104	106	101
123	III	107	114	102
124	III	115	120	103
125	III	121	125	104
126	III	126	133	105
127	III	134	137	106
128	III	138	143	107
129	III	144	147	108
130	IV	1	4	109
131	IV	5	6	110
132	IV	7	7	111
133	IV	8	10	112
134	IV	11	13	113
135	IV	14	15	114
136	IV	16	18	115
137	IV	19	21	116
138	IV	22	29	117
139	IV	30	40	118
140	IV	41	48	119
141	IV	49	52	120
142	IV	53	55	121
143	IV	56	58	122
144	IV	59	61	123
145	IV	62	72	124
146	IV	73	82	125
147	IV	83	90	126
148	IV	91	92	127
149	IV	93	96	128
150	IV	97	101	129
151	IV	102	108	130
152	IV	109	119	131
153	IV	120	128	132
154	IV	129	130	133
155	--	--	--	--
156	--	--	--	--
157	--	--	--	--
158	--	--	--	--
159	--	--	--	--
160	--	--	--	--
161	--	--	--	--
