vol.	page	pancika	adhyaya	from kandika	to kandika.	ipage
I	98	1	1	1	2a	1
I	99	1	1	2b	3	2
I	100	1	1	4	5a	3
I	101	1	1	5b	6	4
I	101	2	1	7a	7a	4
I	102	2	1	7b	8a	5
I	103	2	1	8b	10a	6
I	104	2	1	10b	11a	7
I	105	2	1	11b	11b	8
I	105	3	1	12	13a	8
I	106	3	1	13b	13b	9
I	107	3	1	13b	14a	10
I	108	3	1	14b	16a	11
I	109	3	1	16b	16b	12
I	110	3	1	16c	17	13
I	110	4	1	18	18a	13
I	111	4	1	18b	20a	14
I	112	4	1	20b	22a	15
I	113	4	1	22b	22b	16
I	114	4	1	22b	23a 	17
I	115	4	1	23b	25a	18
I	116	4	1	25b	26	19
I	117	5	1	27	28a	20
I	118	5	1	28b	28b	21
I	119	5	1	28c	29a	22
I	120	5	1	29b	30a	23
I	121	5	1	30b	30b	24
I	122	1	2	1	1	25
I	123	1	2	2	2a	26
I	124	1	2	2b	3a	27
I	125	1	2	3b	4a	28
I	126	1	2	4b	6a	29
I	127	1	2	6b	7a	30
I	128	1	2	7b	8a	31
I	129	1	2	8b	9a	32
I	130	1	2	9b	10	33
I	130	2	2	11	11a	33
I	131	2	2	11b	13a	34
I	132	2	2	13b	14a	35
I	133	2	2	14b	16a	36
I	134	2	2	16b	17a	37
I	135	2	2	17b	18a	38
I	136	2	2	18b	18b	39
I	136	3	2	19	19	39
I	137	3	2	20	20a	40
I	138	3	2	20b	22a	41
I	139	3	2	22b	24a	42
I	140	3	2	24b	24b	43
I	140	4	2	25	25a	43
I	141	4	2	25b	27a	44
I	142	4	2	27b	29a	45
I	143	4	2	29b	31a	46
I	144	4	2	31b	32a	47
I	145	4	2	32b	32b	48
I	145	5	2	33	34a	48
I	146	5	2	34b	36a	49
I	147	5	2	36b	37a	50
I	148	5	2	37b	38a	51
I	149	5	2	38b	40a	52
I	150	5	2	40b	41a	53
I	151	5	2	41b	41b	54
I	151	1	3	1	2a	54
I	152	1	3	2b	3a	55
I	153	1	3	3b	4a	56
I	154	1	3	4b	6a	57
I	155	1	3	6b	8a	58
I	156	1	3	8b	10a	59
I	157	1	3	10b	11a	60
I	158	1	3	11b	11b	61
I	158	2	3	12	12	61
I	159	2	3	13	14	62
I	160	2	3	15	17a	63
I	161	2	3	17b	18a	64
I	162	2	3	18b	19	65
I	163	2	3	20	21a	66
I	164	2	3	21b	22	67
I	165	2	3	23	24a	68
I	166	2	3	24b	24b	69
I	166	3	3	24c	26a	69
I	167	3	3	26b	28a	70
I	168	3	3	28b	29a	71
I	169	3	3	29b	31a	72
I	170	3	3	31b	32	73
I	171	3	3	33	34a	74
I	172	3	3	34b	36a	75
I	173	3	3	36b	37a	76
I	174	3	3	37b	38	77
I	174	4	3	39	39a	77
I	175	4	3	39b	40a	78
I	176	4	3	40b	42a	79
I	177	4	3	42b	44a	80
I	178	4	3	44b	44b	81
I	178	5	3	45	45a	81
I	179	5	3	45b	46a	82
I	180	5	3	46b	48a	83
I	181	5	3	48b	49a	84
I	182	5	3	49b	50	85
I	183	1	4	1	2a	86
I	184	1	4	2b	3	87
I	185	1	4	4	4a	88
I	186	1	4	4b	6a	89
I	187	1	4	6b	6b	90
I	187	2	4	6c	7a	90
I	188	2	4	7b	9a	91
I	189	2	4	9b	10a	92
I	190	2	4	10b	11a	93
I	191	2	4	11b	13a	94
I	192	2	4	13b	14a	95
I	193	2	4	14b	14b	96
I	193	3	4	15a	16a	96
I	194	3	4	16b	18a	97
I	195	3	4	18b	19a	98
I	196	3	4	19b	20a	99
I	197	3	4	20b	22a	100
I	198	3	4	22b	22b	101
I	198	4	4	23	23a 	101
I	199	4	4	23b	25a	102
I	200	4	4	25b	26a	103
I	201	4	4	26b	27a	104
I	202	4	4	27b	28a	105
I	203	4	4	28b	28b	106
I	203	5	4	29	29	106
I	204	5	4	30	30a	107
I	205	5	4	30b	31	108
I	206	5	4	32	32	109
I	206	1	5	1	1a	109
I	207	1	5	1b	1b	110
I	208	1	5	1c	2a	111
I	209	1	5	2b	3a	112
I	210	1	5	3b	4a	113
I	211	1	5	4b	5a	114
I	212	1	5	5b	5b	115
I	212	2	5	6	6a	115
I	213	2	5	6b	7a	116
I	214	2	5	7b	8a	117
I	215	2	5	8b	10	118
I	216	2	5	11	12a	119
I	217	2	5	12b	13a	120
I	218	2	5	13b	14a	121
I	219	2	5	14b	15a	122
I	220	2	5	15b	15b	123
I	220	3	5	16	16a	123
I	221	3	5	16b	17a	124
I	222	3	5	17b	18a	125
I	223	3	5	18b	18b	126
I	224	3	5	18c	19a	127
I	225	3	5	19b	19b	128
I	225	4	5	20	20a	128
