page	pancika	adhy.	from kandika	to kandika	ipage		adhyaya ?	from khanda	to khanda	Remarks(s)
14	1	1	1	1	1		1	1	1	
15	1	1	2	3a	2		1	2	3a	
16	1	1	3b	5a	3		1	3b	5a	
17	1	1	5b	6a	4		1	5b	6a	
18	1	1	6b	6b	5		1	6b	6b	
18	1	2	7	8a	5		2	1	2a	
19	1	2	8b	9a	6		2	2b	3a	
20	1	2	9b	10a	7		2	3b	4a	
21	1	2	10b	11a	8		2	4b	5a	
22	1	2	11b	11b	9		2	5b	5b	
22	1	3	12	13a	9		3	1	2a	
23	1	3	13b	13b	10		3	2b	2b	
24	1	3	13c	14	11		3	2c	3	
25	1	3	15	16a	12		3	4	5a	
26	1	3	16b	16b	13		3	5b	5b	
27	1	3	16c	17a	14		3	5c	6a	
28	1	3	17b	17b	15		3	6b	6b	
28	1	4	18	19a	15		4	1	2a	
29	1	4	19b	21a	16		4	2b	4a	
30	1	4	21b	22a	17		4	4b	5a	
31	1	4	22b	22b	18		4	5b	5b	
32	1	4	22c	23a	19		4	5c	6a	
33	1	4	23b	25a	20		4	6b	8a	
34	1	4	25b	26a	21		4	8b	9a	
35	1	4	26b	26b	22		4	9b	9b	
35	1	5	27	28a	22		5	1	2a	
36	1	5	28b	28b	23		5	2b	2b	
37	1	5	28c	29a	24		5	2c	3a	
38	1	5	29b	30a	25		5	3b	4a	
39	1	5	30b	30b	26		5	4b	4b	
40	1	5	30c	30c	27		5	4c	4c	
41	2	1	1	1a	28		6	1	1a	
42	2	1	1b	2a	29		6	1b	2a	
43	2	1	2b	3a	30		6	2b	3a	
44	2	1	3b	4a	31		6	3b	4a	
45	2	1	4b	5a	32		6	4b	5a	
46	2	1	5b	6a	33		6	5b	6a	
47	2	1	6b	7a	34		6	6b	7a	
48	2	1	7b	9a	35		6	7b	9a	
49	2	1	9b	10a	36		6	9b	10a	
50	2	1	10b	10b	37		6	10b	10b	
50	2	2	11	11a	37		7	1	1a	
51	2	2	11b	12	38		7	1b	2	
52	2	2	13	14a	39		7	3	4a	
53	2	2	14b	16a	40		7	4b	6a	
54	2	2	16b	17a	41		7	6b	7a	
55	2	2	17b	18a	42		7	7b	8a	
56	2	2	18b	18b	43		7	8b	8b	
56	2	3	19	19a	43		8	1	1a	
57	2	3	19b	20a	44		8	1b	2a	
58	2	3	20b	22a	45		8	2b	4a	
59	2	3	22b	23a	46		8	4b	5a	
60	2	3	23b	24a	47		8	5b	6a	
61	2	3	24b	24b	48		8	6b	6b	
61	2	4	25	26a	48		9	1	2a	
62	2	4	26b	27a	49		9	2b	3a	
63	2	4	27b	29a	50		9	3b	5a	
64	2	4	29b	31a	51		9	5b	7a	
65	2	4	31b	32a	52		9	7b	8a	
66	2	4	32b	32b	53		9	8b	8b	
66	2	5	33	34a	53		10	1	2a	
67	2	5	34b	35a	54		10	2b	3a	
68	2	5	35b	37a	55		10	3b	5a	
69	2	5	37b	38a	56		10	5b	6a	
70	2	5	38b	39a	57		10	6b	7a	
71	2	5	39b	40a	58		10	7b	8a	
72	2	5	40b	41	59		10	9b	9	
73	3	1	1	2a	60		11	1	2a	
74	3	1	2b	3a	61		11	2b	3a	
75	3	1	3b	4a	62		11	3b	4a	
76	3	1	4b	7a	63		11	4b	7a	
77	3	1	7b	8a	64		11	7b	8a	
78	3	1	8b	10	65		11	8b	10	
79	3	1	11	11a	66		11	11	11a	
80	3	1	11b	11b	67		11	11b	11b	
80	3	2	12	12a	67		12	1	1a	
81	3	2	12b	14a	68		12	1b	3a	
82	3	2	14b	17a	69		12	3b	6a	
83	3	2	17b	18a	70		12	6b	7a	
84	3	2	18b	19a	71		12	7b	8a	
85	3	2	19b	20a	72		12	8b	9a	
86	3	2	20b	22a	73		12	9b	11a	
87	3	2	22b	23a	74		12	11b	12a	
88	3	2	23b	24	75		12	12b	13	
88	3	3	25	25a	75		13	1	1a	
89	3	3	25b	26	76		13	1b	2	
90	3	3	27	28a	77		13	3	4a	
91	3	3	28b	29a	78		13	4b	5a	
92	3	3	29b	31a	79		13	5b	7a	
93	3	3	31b	32a	80		13	7b	8a	
94	3	3	32b	34a	81		13	8b	10a	
95	3	3	34b	35a	82		13	10b	11a	
96	3	3	35b	37a	83		13	11b	13a	
97	3	3	37b	38a	84		13	13b	14a	
98	3	3	38b	38b	85		13	14b	14b	
98	3	4	39	39a	85		14	1	1a	
99	3	4	39b	41a	86		14	1b	3a	
100	3	4	41b	42a	87		14	3b	4a	
101	3	4	42b	44a	88		14	4b	6a	
102	3	4	44b	44b	89		14	6b	6b	
102	3	5	45	45a	89		15	1	1a	
103	3	5	45b	46a	90		15	1b	2a	
104	3	5	46b	47a	91		15	2b	3a	
105	3	5	47b	49a	92		15	3b	5a	
106	3	5	49b	50a	93		15	5b	6a	
107	3	5	50b	50b	94		15	6b	6b	
108	4	1	1	2a	95		16	1	2a	
109	4	1	2b	3a	96		16	2b	3a	
110	4	1	3b	4a	97		16	3b	4a	
111	4	1	4b	6a	98		16	4b	6a	
112	4	1	6b	6b	99		16	6b	6b	
112	4	2	7	7a	99		17	1	1a	
113	4	2	7b	8a	100		17	1b	2a	
114	4	2	8b	10a	101		17	2b	4a	
115	4	2	10b	10b	102		17	4b	4b	
116	4	2	10c	11a	103		17	4c	5a	
117	4	2	11b	13a	104		17	5b	7a	
118	4	2	13b	14	105		17	7b	8	
119	4	3	15	16a	106		18	1	2a	
120	4	3	16b	18a	107		18	2b	4a	
121	4	3	18b	19a	108		18	4b	5a	
122	4	3	19b	20a	109		18	5b	6a	
123	4	3	20b	21a	110		18	6b	7a	
124	4	3	21b	22	111		18	7b	8	
124	4	4	23	23a	111		19	1	1a	
125	4	4	23b	24a	112		19	1b	2a	
126	4	4	24b	25a	113		19	2b	3a	
127	4	4	25b	26a	114		19	3b	4a	
128	4	4	26b	27a	115		19	4b	5a	
129	4	4	27b	28	116		19	5b	6	
129	4	5	29	29a	116		20	1	1a	
130	4	5	29b	30a	117		20	1b	2a	
131	4	5	30b	30b	118		20	2b	2b	
132	4	5	30c	31a	119		20	2c	3a	
133	4	5	31b	32a	120		20	3b	4a	
134	4	5	32b	32b	121		20	4b	4b	
135	5	1	1	1a	122		21	1	1a	
136	5	1	1b	2a	123		21	1b	2a	
137	5	1	2b	3a	124		21	2b	3a	
138	5	1	3b	4a	125		21	3b	4a	
139	5	1	4b	4b	126		21	4b	4b	
140	5	1	5	5a	127		21	4c	5a	
141	5	1	5b	5b	128		21	5b	5b	
141	5	2	6	6a	128		22	1	1a	
142	5	2	6b	7a	129		22	1b	2a	
143	5	2	7b	8a	130		22	2b	3a	
144	5	2	8b	10a	131		22	3b	5a	
145	5	2	10b	12a	132		22	5b	7a	
146	5	2	12b	13a	133		22	7b	8a	
