page	patala	from v.	to v.	ipage	Remarks
8	7	1	2	129	Adhyaya. II
9	7	3	3	130	
10	7	4	4	131	
11	7	5	6	132	
12	7	7	7	133	
13	7	8	9	134	
14	7	10	10	135	
15	7	11	11	136	
16	7	12	13	137	
17	7	14	14	138	
18	7	15	19	139	
19	7	-	-	140	
20	7	-	-	141	
21	7	-	-	142	
22	7	20	22	143	
23	7	-	-	144	
24	7	-	-	145	
25	7	23	23	146	
26	7	24	25	147	
27	7	-	-	148	
28	7	26	28	149	
29	7	-	-	150	
30	7	29	29	151	
31	7	30	31	152	
32	7	32	33	153	
33	7	34	34	154	
33	8	1	2	154	
34	8	-	-	155	
35	8	-	-	156	
36	8	3	3	157	
37	8	4	4	158	
38	8	5	6	159	
39	8	7	8	160	
40	8	-	-	161	
41	8	9	9	162	
42	8	10	10	163	
43	8	11	12	164	
44	8	-	-	165	
45	8	13	14	166	
46	8	15	16	167	
47	8	17	18	168	
48	8	19	20	169	
49	8	21	21	170	
50	8	22	22	171	
51	8	23	23	172	
52	8	-	-	173	
53	8	24	24	174	
54	8	25	25	175	
55	8	26	26	176	
56	8	27	27	177	
57	8	28	28	178	
58	8	29	29	179	
59	8	30	30	180	
60	9	1	1	181	
61	9	-	-	182	
62	9	-	-	183	
63	9	-	-	184	
64	9	2	2	185	
65	9	3	3	186	
66	9	4	5	187	
67	9	-	-	188	
68	9	6	6	189	
69	9	7	7	190	
70	9	-	-	191	
71	9	8	8	192	8 is printed as 5
72	9	9	10	193	
73	9	11	11	194	
74	9	12	12	195	
75	9	13	14	196	
76	9	15	15	197	
77	9	16	16	198	
78	9	17	18	199	
79	9	-	-	200	
80	9	19	20	201	
81	9	21	21	202	
82	9	22	22	203	
83	9	23	23	204	
84	9	24	25	205	
85	9	26	26	206	
86	9	27	27	207	
87	9	28	28	208	
88	9	29	30	209	
89	9	-	-	210	
90	10	1	4	211	
91	10	-	-	212	
92	10	-	-	213	
93	10	5	5	214	
94	10	6	7	215	
95	10	-	-	216	
96	10	8	10	217	
97	10	11	11	218	
98	10	12	12	219	
99	10	13	13	220	
100	10	14	14	221	
101	11	1	2	222	
102	11	3	4	223	
103	11	5	6	224	
104	11	7	7	225	
105	11	8	9	226	
106	11	10	10	227	
107	11	-	-	228	
108	11	11	12	229	
109	11	13	13	230	
110	11	14	14	231	
111	11	-	-	232	
112	11	15	16	233	
113	11	17	17	234	
114	11	18	18	235	
115	11	19	20	236	
116	11	21	22	237	
117	11	23	23	238	
118	11	24	24	239	
119	11	25	25	240	
120	11	26	26	241	
121	11	27	27	242	
122	11	28	28	243	
123	11	29	30	244	
124	11	31	31	245	
125	11	32	32	246	
126	11	33	33	247	
127	11	34	34	248	
128	11	35	35	249	
129	11	36	36	250	36 is printed as 33
130	11	37	37	251	
131	12	1	1	252	
132	12	2	2	253	
133	12	3	4	254	
134	12	5	6	255	5 is printed as 8
135	12	-	-	256	
136	12	7	9	257	
137	12	-	-	258	
138	13	1	4	259	Adhyaya III
139	13	2	2	260	
140	13	3	3	261	3 is printed as 6
141	13	4	4	262	
142	13	-	-	263	
143	13	5	6	264	5 is printed as 8
144	13	7	7	265	
145	13	8	9	266	
146	13	10	10	267	
147	13	11	11	268	
148	13	12	14	269	
149	13	15	15	270	
150	13	16	17	271	
151	13	-	-	272	
152	13	-	-	273	
153	13	18	20	274	18 is printed as 15
154	14	1	2	275	
155	14	3	5	276	
156	14	6	6	277	
157	14	7	8	278	8 is printed as 6
158	14	9	9	279	
159	14	10	10	280	
160	14	11	11	281	
161	14	12	12	282	
162	14	13	15	283	
163	14	16	18	284	
164	14	19	20	285	
165	14	21	23	286	
166	14	25	25	287	
167	14	-	-	288	
168	14	26	27	289	
169	14	28	29	290	28 is printed as 25
170	14	30	30	291	
171	15	1	3	292	
172	15	4	5	293	
173	15	6	7	294	
174	15	-	-	295	
175	15	8	10	296	
176	15	11	12	297	
177	15	13	14	298	
178	15	15	15	299	
179	15	16	16	300	
180	16	1	4	301	
181	16	5	8	302	
182	16	9	9	303	
183	16	10	11	304	
184	16	12	12	305	
185	16	13	15	306	
186	16	16	17	307	
187	16	18	23	308	
188	16	24	25	309	
189	16	26	27	310	
190	16	28	30	311	
191	16	31	33	312	
192	16	34	34	313	
193	16	35	35	314	
194	16	36	38	315	
195	16	39	41	316	
196	16	42	43	317	
197	16	44	44	318	
198	16	45	46	319	
199	16	47	48	320	
200	16	49	50	321	
201	16	51	51	322	
202	16	52	54	323	
203	16	55	58	324	
204	16	-	-	325	
205	16	59	60	326	
206	16	-	-	327	
207	17	1	2	328	
208	17	3	6	329	
209	17	7	7	330	
210	17	8	11	331	
211	17	12	13	332	
212	17	14	14	333	
213	17	-	-	334	
214	17	15	16	335	
215	17	17	17	336	
216	17	18	19	337	the number 20 is not specified
217	17	21	23	338	
218	17	24	24	339	
219	17	25	28	340	
220	17	29	29	341	
221	17	30	32	342	
222	18	1	4	343	
223	18	5	8	344	
224	18	9	10	345	
225	18	11	14	346	
226	18	15	17	347	
227	18	18	20	348	
228	18	21	22	349	
229	18	23	23	350	
230	18	24	24	351	
231	18	25	28	352	
232	18	29	29	353	
233	18	30	33	354	
234	18	34	34	355	
235	-	-	-	356	
236	-	-	-	357	
