abbr	len	ambiguous	raw	marked	in_other_tags	bare_narrative	ctx1	ctx2	ctx3
N.	2	Y	38421	2	15201	23218	 r.   . <LEND>     ¦ (1.  )     (der Götter), der N. des 64ten — 67ten Kapitels im 1sten Buche des  , 	)   (nach dem Schol. die  )   —   <div n="1">— 2) N. einer Pflanze,       <LEND>     ¦ (    +    )   N	. einer Pflanze,       <LEND>     ¦ (    +    )   N. einer Pflanze,     <div n="v">— Vgl.   und   . <L
N. pr.	6		17791	7	1	17783	END>     ¦ (wie eben)    :     <LEND>     ¦ ( )   N. pr.    ; Name eines Königs,   bei   <LEND>     ¦ ( ) 	¦ (   )   <div n="1"> 1)     im   <div n="1">— 2) N. pr. ein Sohn des   und der  ,   des 1sten  ,   <LEND>	ntspr. Stelle im   :  ). <LEND>     ¦ (  von  )   N. pr. ein Sohn   und Verfasser von   <LEND>     ¦ ( )  
vgl.	4		11607	83	49	11475	e beiden Vocale fliessen nicht in einander)  ,  ; vgl.     und   Drückt Mitleid aus ( )   <LEND>    2.  	n:     (   )   ( . fasst   als   und ergänzt  )   vgl.     ( ), das auch den Namen   führt. <div n="2">—	der Tag in kleinere Zeitabschnitte getheilt wird; vgl.       <LEND>    3.  ¦     am Ende eines   Composi
d.	2	Y	48761	0	39024	9737	"2"> a) der 1sten Person, enthalten in   und im ved.   . <div n="2">— b) der 3ten Person;     . Davon 	uzutheilen.</F>     [Page1-0002]                , d. h.     Vor einem Nomen pr. oder Appell. ( ) im Vo	—   (sonst —  ), ( ) (sonst —  )   Ausnahmen: ebend.     <div n="2">— b) die Identität des nachfolgend
c.	2	Y	11772	0	4078	7694	 mit dem Infinitiv:             oder     Das Partic. praet. pass. verbindet sich mit der verneinten Fo	indet sich mit der verneinten Form desselben Partic. sehr häufig zu einem Compositum,   (   )         	   u.   . <div n="v">— Vgl.   . <LEND>     ¦ (  Loc. von  )    ,     . <div n="v">— Vgl.   . <LEND>   
v. a.	5		6567	1	3	6563	   <div n="1"> 1)  :         <div n="1">— 2)   s. v. a.  :                             <div n="1">— 3) co	tlichen Redensart:         =  ; dem Sinne nach s. v. a.   <LEND>     ¦ (von   mit  )    :     <LEND>     	   und oben u. 1)                 (ebenso wohl s. v. a.  , vgl.   :  )               <div n="1">— 3)   (v
z.	2	Y	27185	0	22347	4838	bertreibender Weise gebraucht wird. So umschreibt z. B.     durch <div n="1"> 1)    , <div n="1"> 2)  	ntgegengesetzte Begriff gemeint wird; so bedeutet z. B.     geradezu   Zwei Negationen bejahen:     = 	ND>     ¦ (3.  )       . <LEND>     ¦ (3.  )     (z. B. Gesicht)  ,   <LEND>     ¦ (3.  ) <div n="1"> 
st.	3	Y	11047	0	6334	4713	d durch das goth.   sich als die ältere Form erweist. <LEND>    1.  ¦ (von 1.  )   <div n="1"> 1)     <	n Grammatikern vielleicht erst geschaffen worden ist. <LEND>    2.  ¦,   entweder   oder   (  mit der V	erscheint im   immer nur der Abl. sg.   in der subst. Bedeutung  :                       — Vgl. 1.  , g
ed.	3	Y	9864	0	5254	4610	="2"> a) der 1sten Person, enthalten in   und im ved.   . <div n="2">— b) der 3ten Person;     . Davon 	.   . <div n="p">—    :     <div n="p">—    :   (Med.)   <LEND>    1.  ¦        ,                     <	iv n="2"> a)  :     <div n="2">— b)   (in dieser Bed. sehr häufig):                         (   ). <div
Bez.	4		4266	0	1	4265	<LEND>     ¦     <LEND>     ¦ (3.     von  )    , Bez. eines dämon. Wesens:     <LEND>     ¦ (von  ) adv	Opfer an die Sonne               <div n="1">— 10) Bez. einer Ceremonie (im Anschluss an 1.  :     zu    	en)             zu   <LEND>     ¦ (wie eben)    , Bez. einer bes. Art Bettler ( )    <div n="v">— Vgl.  
p.	2	Y	4801	0	629	4172	eränderte Gestalt bei     (sonst am Ende eines Comp. —   (sonst —  ), ( ) (sonst —  )   Ausnahmen: ebe	s  ,   <LEND>     ¦ (von 1.  ) am Ende eines   Comp.:     (bei der Erbtheilung)     <LEND>     ¦   <di	             ; vgl. noch   . — Am Ende eines   Comp.         — Von     <LEND>     ¦ (    +    )       
pl.	3	Y	4232	2	59	4171	 , ein Beiwort der  :           <div n="1">— 2)   pl. eine Klasse von Göttern bei den Buddhisten       	                        Der Gen.   und der Instr. pl.    :             (   ).               <div n="v">	 b)   ( )   im       <div n="1">— 2)   sg. oder   pl.           ( )   (m. pl.)         t. 80 (m.   n.?)
w.	2	Y	5178	0	1217	3961	div n="1">— 4)       im   <div n="1">— 5)   u. s. w. ( )       im   <div n="1">— 6)     im  ; vgl. [Pa	="v">— Vgl.   . <LEND>     ¦ (von  )    :   u. s. w.     <LEND>     ¦ (3.  ) <div n="1"> 1)       ( ).	.  )     oder       <LEND>     ¦ (3.  )     u. s. w.  , wo es wie   von   abgeleitet wird. <LEND>     
dass.	5		3827	3	1	3823	  u.s.w.     <div n="v">— Vgl.   . <div n="p">—   dass.     <LEND>     ¦ (von  )    .  ,  :       u. s. w	(mit der Negation:  ).                 — Instr.   dass.:   ( )   <LEND>     ¦ (  [3.   part. praes. act. 	  mit  )    :           <LEND>     ¦ (von   2.)   dass.:     <LEND>     ¦ ( )         <LEND>     ¦ (von  
nom.	4		3722	1	6	3715	 ¦ (1.  )       im   u.   und   . <LEND>     ¦ (Denom. von    ),    ,   ( ) im   — Auch   . <LEND>     ¦	ND>     ¦ (1.  )    ,  ,       <LEND>     ¦,   (Denom. von    ,   s. r.   . <LEND>     ¦ (1.  )     (der	ND>     ¦ ( )     (nach  )   Vielleicht ist   als nom. zu fassen. <LEND>     ¦ ( )       oder     So hei
caus.	5		3646	7	0	3639	   <div n="v">— Vgl.   und   . <div n="p">—   ( ) caus.  :           pass.  :     <div n="p">—   caus.  :	 ) caus.  :           pass.  :     <div n="p">—   caus.  :    -  <LEND>    1.  ¦ indecl.     . <div n="1"	m Sohn oder dem Schwiegervater. <LEND>     ¦ (vom caus. von   mit  )    :     <LEND>     ¦ (von   mit  ) 
comp.	5		3499	0	3	3496	>     ¦ (3.  )    :     Ueberaus häufig nach   im comp.; s.   . <LEND>     ¦ (3.   part. praes. von  )   	"2"> a)                           Am Ende eines   comp.       <div n="2">— b)       <div n="2">— c)  ,   	(von der Zeit):          ; vgl.   . Am Anf. eines comp. vor einem partic.:  :                    ; vgl.  
s. u.	5		3418	6	2	3410	eber die Bedeutung und die Betonung dieser Formen s. u.   . Demselben Stamme begegnen wir ferner in   . <	v n="1">— 2)   ibid. <div n="1">— 3)  :     zu  ; s. u.   . <div n="v">— Vgl.   . <LEND>    2.  ¦ (3.    	er     im   <div n="1">— 2)     <div n="2"> a)  , s. u. 1.   <div n="2">— b) N. einer strauchartigen Pfla
Schol.	6		6287	0	3061	3226	  ( )   ( );   ( )   zu   im     ( )         beim Schol. zu   ( );              :  .               ; vgl. 	ivirte Fem. vom    )   <div n="1"> 1)   (nach dem Schol. die  )   —   <div n="1">— 2) N. einer Pflanze,   	   <LEND>     ¦ (  mit vedischer Verlängerung)   (Schol.):     <LEND>     ¦ (3.  )         <div n="v">— Vg
Bein.	5		2627	0	1	2626	      ( :         <LEND>     ¦ (  2,a. +  )   ein Bein.     <LEND>     ¦ ( )   ein Bein.         <LEND>  	 2,a. +  )   ein Bein.     <LEND>     ¦ ( )   ein Bein.         <LEND>     ¦ ( )   N. pr. eines Berges  ,	 (von  )    :     <LEND>     ¦ (  2,a. +  )   ein Bein.    ,     <LEND>     ¦ (von  )         . <LEND>   
acc.	4		2624	2	3	2619	Königs, eines Sohnes des  ,       <LEND>     ¦ (  acc. von  )  ,  . 9.    :     <LEND>     ¦ ( ) <div n=	. <LEND>     ¦ (1.    : <div n="1"> 1)  , mit dem acc. der Sache:           <div n="1">— 2)  :          	1">— 2)       <div n="v">— Vgl.   . <LEND>     ¦ (acc. von  ) adv.  :         <div n="v">— Vgl.   . <LEN
sg.	3	Y	2604	0	66	2538	Artikel); sonst erscheint im   immer nur der Abl. sg.   in der subst. Bedeutung  :                     	öttern bei den Buddhisten       <div n="1">— 3)   sg.  ,   im   <LEND>     ¦ (  2. +    )    ,   <LEND>	div n="2">— b)   ( )   im       <div n="1">— 2)   sg. oder   pl.           ( )   (m. pl.)         t. 80
partic.	7		2331	1	1	2329	 v.l. <LEND>     ¦ (von  )    :     <LEND>     ¦ (partic. praes. von einem denom.  )   (um zu entwischen): 	         ; vgl.   . Am Anf. eines comp. vor einem partic.:  :                    ; vgl.   . <div n="1">— 2)	n   u. s. w. mit   . Dies ist das     ( )     Ein partic. fut. pass. von einer mit   zusammengesetzten Wurz
patron.	7		2095	0	0	2095	v">— Vgl.   . <LEND>    2.  ¦ (wie eben)   N. pr. patron. des  , so v. a.         In   :  , wo nach   ein A	v">— Vgl.   3. <LEND>     ¦   s.   . <LEND>     ¦ patron. von   (3.  )     zu   <LEND>     ¦ (von   mit  ) 	           <div n="1">— 2)  :     <LEND>    2.  ¦ patron. von       zu       in           Im pl. erscheint 
Comm.	5		2198	1	134	2063	      ?  Im   immer in derselben Verbindung; vgl. Comm. zu   <LEND>     ¦ ( )     Von  :           <LEND>	te   von   Commentar zur       <LEND>     ¦   die Comm. führen das Wort auf   und Wurzel   zurück. Vielle	D>     ¦   (wahrscheinlich von   mit 2.  )  :     Comm. von   oder von   mit   . <LEND>     ¦ (von   mit 
Bed.	4		1984	37	13	1934	div n="2"> a)  :     <div n="2">— b)   (in dieser Bed. sehr häufig):                         (   ). <div	                                       in übertr. Bed.:       (sic! also nicht mit   zu verbinden)    ; 	 1) loc. von   und zwar <div n="2"> a) mit subst. Bed.:   (            (        ( :  )       (   )      
med.	4		1935	0	2	1933	ND>     ¦ ( )   N. pr. =       <LEND>     ¦,     (med. kommt gleichfalls vor). Nach     fehlen die gener	   <div n="p">—   <div n="1"> 1)  :               med.:     <div n="1">— 2)   (intrans.),  :     <div n=	 ,   <div n="p">—   <div n="1"> 1)  :             med.:               <div n="1">— 2)  , med.:       <di
u. s. w.	8		1924	12	0	1912	     <div n="1">— 4)       im   <div n="1">— 5)   u. s. w. ( )       im   <div n="1">— 6)     im  ; vgl. [Pa	<div n="v">— Vgl.   . <LEND>     ¦ (von  )    :   u. s. w.     <LEND>     ¦ (3.  ) <div n="1"> 1)       ( ).	  ¦ (3.  )     oder       <LEND>     ¦ (3.  )     u. s. w.  , wo es wie   von   abgeleitet wird. <LEND>     
v. l.	5		4195	3	2336	1856	:     <LEND>     ¦ ( )   <div n="1"> 1)     im   (v. l.  ) <div n="1">— 2)  ,   <LEND>     ¦ (von  )    ,	     Vgl.  ,   4,  ,   und   <div n="1">— 2)     (v. l.  ) bei den   Name einer Göttin, die dem 14ten   d	    im   <div n="2">— e)   ( )   (soll nach   nur v. l. für   sein:  ). <div n="1">— 3)         <div n="1
Ausg.	5		1658	0	60	1598	<F>*   führt bei     als Autorität auf; die Calc. Ausg. des   liest aber   und   kommt auch bei   als Bez	tiv zu fassen genöthigt sind (  ist mit der Calc. Ausg.   st.   zu lesen), möchten wir die Vermuthung aus	u   <LEND>     ¦ ( )    , ein Beiname  ,   (Calc. Ausg. und    ,   wie wir). <LEND>     ¦ ( )    , die   
abstr.	6		1488	0	3	1485	)    :     <LEND>     ¦ (3.  )   Bildung des Nom. abstr.   <LEND>     ¦ (3.  )    :         <LEND>     ¦ (	LEND>     ¦ (3.  )    :       <LEND>     ¦   Nom. abstr. von     <div n="v">— Vgl.   . <LEND>     ¦   Name	t). <div n="v">— Vgl.   . <LEND>     ¦ ( )   Nom. abstr. von  , ein Redevorzug ( ) der   bei den     <LEND
nom. abstr.	11		1443	2	0	1441	="1">— 4)  ,   <div n="v">— Vgl.   . <LEND>     ¦ nom. abstr. <div n="1"> 1) von 2.   2.   <div n="1">— 2) von 	in   <LEND>     ¦ (von  )    :     <LEND>     ¦   nom. abstr. von     <LEND>     ¦     . <LEND>     ¦ <div n="1	  ¦ (3.  )    :      :               <LEND>     ¦ nom. abstr. von 2.   in der 2ten Bedeutung, eine Eigenthümlic
v. u.	5		1436	54	2	1380	    <div n="1">— 2)   <div n="2"> a) Beiname    , v. u. <div n="2">— b) Name einer Pflanze =  ,   im  ; v	        <LEND>     ¦ (3.  )      ;  :       in  , v. u. <LEND>     ¦ (3.  )       im   <LEND>     ¦ (3.  	"2">— b)           <div n="2">— c)              , v. u.   <div n="2">— d)         <div n="2">— e)        
act.	4		1352	0	2	1350	 :          , mit dem Inf.:       nach einem Nom. act.:     <LEND>     ¦ (3.  )       im    ,   <div n="	                    (   ). <div n="1">— 2)   Nom. act.  ,     wird   unter den   aufgeführt. <LEND>     	 <LEND>     ¦ (denom. von  ),  .    :     Partic. act.       u.s.w.     <div n="v">— Vgl.   . <div n="p"
gen.	4		1420	0	91	1329	  stehen, haben wir des Accents wegen hierher gezogen.   heisst es nämlich, dass  , wenn es nicht   bede	eses Wortes lässt sich das masc. nicht weiter belegen. In der  -Literatur bezeichnet     eine bestimmte 	e:     zu  ; vgl. weiter unten und u.   . Mit dem gen.:   (auf die Frage wo?)        :    , v.l. (für   
loc.	4		1253	3	1	1249	Vgl. zend.   <LEND>     ¦ s.   . <LEND>     ¦ (  [loc. von    )    :     <LEND>     ¦ ( )             <L	p.  :                                   Mit einem loc.   [Page1-0044]  :         <div n="1">— 2)       z	)     im   <div n="v">— Vgl.   . <LEND>     ¦ (  [loc. von 3.   adj.)    :     <LEND>     ¦    ) heisst 
Gegens.	7		1248	3	2	1243	ndlung u. s. w.), [Page1-0051]                 im Gegens. zu       in       ist aller Wahrscheinlichkeit na	LEND>     ¦ (superl. von  )  :      :   ?( )     (Gegens.       <LEND>     ¦   =   die Commentatoren zu   <	     ¦     . <LEND>     ¦ <div n="1"> 1)         (Gegens.  )                     [Page1-0085]              
pass.	5		1188	2	4	1182	nfinitiv:             oder     Das Partic. praet. pass. verbindet sich mit der verneinten Form desselben 	r   des 4ten  ,   <LEND>     ¦ (3.   part. praet. pass. von  ) <div n="1"> 1)    :     <div n="1">— 2)   	   — Lehrers   <LEND>     ¦ (  [3.   part. praet. pass. von  )       ( ). <LEND>     ¦ (3.  )    :       
instr.	6		991	2	3	986	2)   <div n="1">— 3)  ,   im   <LEND>     ¦ (3.   instr. von  )    , ein Beiwort der  :     <LEND>     ¦ (	"1"> 1)     <div n="1">— 2)         <LEND>     ¦ (instr. von  ) adv.  ; bei einem praes.     perf.       p	bensdauer).     <LEND>    1.  ¦ (3.  )    ; davon instr.    :     <LEND>    2.  ¦ (3.  )   <div n="1"> 1) 
nom. ag.	8		965	0	0	965	 im  ; falsche Lesart für   . <LEND>     ¦ (von   nom. ag. von  )   <div n="1"> 1) =     =     =     <div n=	 <LEND>     ¦ ( )    ;   adv.       <LEND>     ¦ (nom. ag. von   mit  )   (acc.)  :     <LEND>     ¦ ( )    	          <div n="1">— 3)   =       <LEND>     ¦ (nom. ag. von   mit  )  : <div n="1"> 1)  :         <div n=
subst.	6		895	3	1	891	st erscheint im   immer nur der Abl. sg.   in der subst. Bedeutung  :                       — Vgl. 1.  , g	seiner Tochter vermischt)   <LEND>    2.  ¦ (3.   subst.)        . 4. zu   <LEND>     ¦ (1.   2. +  ) adv.	len von  )         — Vielleicht von   . <VN>  ist subst.   und bedeutet vielleicht  </VN> <LEND>     ¦ (3.
desgl.	6		877	1	2	874	D>     ¦ ( )   ein Mannsname   <LEND>     ¦ ( )   desgl.   <LEND>     ¦ (von  )       <div n="v">— Vgl.   	 ¦ von   am Ende eines comp., s.   . <LEND>     ¦ desgl. in   (n.    ),   . <LEND>     ¦ (  von 1.  )    :	   zu   Davon   ebend. <LEND>     ¦ (von  )   pl. desgl. ebend. Davon   . <LEND>     ¦   (f.  ) vom N. pr.
sc.	3	Y	3207	0	2374	833	äufigen Gebrauches dieses Wortes lässt sich das masc. nicht weiter belegen. In der  -Literatur bezeichn	  .   <div n="1"> 1)       . <div n="2"> a)  :   (sc.  )      ,  ,   ist nach unserer Anschauungsweise 	1)               <div n="1">— 2)   <div n="2"> a) sc.   N. eines mächtigen Gegengiftes   auch   genannt
id.	3	Y	820	1	3	816	ompositum,   (   )                         zu     id. zu   <div n="1">— 6) mit einem Verbum finitum:   	                          — Caus.    :       — Desid.    :     <div n="v">— Vgl.   und  , für die die W	, im Gegensatz [Page1-0013] zum     und   .     ibid.   Vgl.   zu    ,   <LEND>     ¦ (3.  )     ( )   
bes.	4		924	0	137	787	indet man beschrieben     <LEND>     ¦ ( )   eine bes. Art Collyrium ( )   im   <LEND>     ¦ ( )   N. pr	 <div n="1"> 1)   (eig.  )   <div n="1">— 2) eine bes. Krankheit,   ( )   im   <LEND>     ¦ ( )       <L	 <LEND>     ¦   <div n="1"> 1)        ;       (insbes. zum Heranziehen),  :            , u. s. w.)      
fg.	3	Y	7693	1	6939	753	="1">— 2)  :                               Vgl.   fg. <div n="p">—    :               <div n="p">—   <d	)   <div n="1"> 1)  :     <div n="1">— 2)         fg.                                   am Ende eines  	 ¦ (von  )   N. eines Strauchs ( )   im   Vgl. d. fg. W. <LEND>     ¦ (von  )   N. eines   besetzten St
desid.	6		748	0	0	748	    ,   Ueber den Accent vgl.   <LEND>     ¦ (vom desid. von  )       <LEND>     ¦   N. eines Fruchtbaumes	   ¦ (2.  )   pl.    ,     <LEND>     ¦ (3.   vom desid. von  )    :         <LEND>     ¦ (3.  )   dass.  	  , gegen die Diät         <LEND>     ¦ (von   im desid. mit  )       zu   im   u.   . <LEND>     ¦ (von  
fgg.	4		5532	1	4806	725	r den alten Sängern genannt:             Die   (  fgg.; vgl.   zu  ) folgende Sage über seine Entstehung	s Melken nicht sträubt:     <div n="v">— Vgl. die fgg. Wörter. <LEND>     ¦ (3.  )   dass.:     <LEND>  	                              <div n="v">— Vgl.   fgg. <div n="p">—   <div n="1"> 1)   oder   (acc.)  : 
viell.	6		647	3	0	644	em acc.:     <LEND>     ¦ (von   mit  )    :    , viell.     <LEND>     ¦ ( )       <LEND>    1.  ¦ (von  	n   mit  ; vgl.   u. s. w. <LEND>     ¦ (  von  ) viell.  ; von den Rossen der  :     Nach   =   . <div n=	 Vogel,   ( ),   zu       — Scheinbar von  , aber viell. falsche Lesart für   . <LEND>     ¦   dass.   <LE
Beiw.	5		636	1	0	635	. <LEND>     ¦ ( )    :     <LEND>     ¦ ( )    , Beiw. der sechs verschiedenen   beim     <LEND>     ¦ (	    Vgl.   . <LEND>     ¦   N. der Pflanze   oder Beiw. derselben:     — Vielleicht verwandt mit  ; vgl. 	. <LEND>     ¦ (3.  ) <div n="1"> 1)    :         Beiw. der Rosse der   (vgl.  ):         <div n="1">— 2)
