vol.	page	kāṇḍa	sarga	from v.	to v.	ipage	remark(s)			
I	---	---	---	---	---	1a	page missing	1	a	1a
I	---	---	---	---	---	1b	page missing	1	b	1b
I	6	1	1	2	5	2a		2	a	2a
I	7	1	1	6	9	2b		2	b	2b
I	8	1	1	10	11	3a		3	a	3a
I	9	1	1	12	14	3b		3	b	3b
I	10	1	1	15	18	4a		4	a	4a
I	11	1	1	19	21	4b		4	b	4b
I	12	1	1	22	27	5a		5	a	5a
I	13	1	1	28	35	5b		5	b	5b
I	14	1	1	36	40	6a		6	a	6a
I	15	1	1	41	46	6b		6	b	6b
I	16	1	1	47	54	7a		7	a	7a
I	17	1	1	55	61	7b		7	b	7b
I	18	1	1	62	68	8a		8	a	8a
I	19	1	1	69	75	8b		8	b	8b
I	20	1	1	76	80	9a		9	a	9a
I	21	1	1	81	83	9b		9	b	9b
I	22	1	1	84	88	10a		10	a	10a
I	23	1	1	89	95	10b		10	b	10b
I	24	1	1	96	100	11a		11	a	11a
I	25	1	2	1	8	11b		11	b	11b
I	26	1	2	9	14	12a		12	a	12a
I	27	1	2	15	15	12b		12	b	12b
I	28	---	---	---	---	13a		13	a	13a
I	29	1	2	16	17	13b		13	b	13b
I	30	1	2	18	25	14a		14	a	14a
I	31	1	2	26	30	14b		14	b	14b
I	32	1	2	31	33	15a		15	a	15a
I	33	1	2	34	41	15b		15	b	15b
I	34	1	2	42	43	16a		16	a	16a
I	34	1	3	1	1	16a		16	a	16a
I	35	1	3	2	9	16b		16	b	16b
I	36	1	3	10	16	17a		17	a	17a
I	37	1	3	17	28	17b		17	b	17b
I	38	1	3	29	39	18a		18	a	18a
I	39	1	4	1	6	18b		18	b	18b
I	40	1	4	7	13	19a		19	a	19a
I	41	1	4	14	24	19b		19	b	19b
I	42	1	4	25	33	20a		20	a	20a
I	43	1	4	34	35	20b		20	b	20b
I	44	1	4	36	36	21a		21	a	21a
I	44	1	5	1	3	21a		21	a	21a
I	45	1	5	4	10	21b		21	b	21b
I	46	1	5	11	19	22a		22	a	22a
I	47	1	5	20	23	22b		22	b	22b
I	47	1	6	1	4	22b		22	b 	22b
I	48	1	6	5	12	23a		23	a	23a
I	49	1	6	13	21	23b		23	b	23b
I	50	1	6	22	28	24a		24	a	24a
I	50	1	7	1	1	24a				24a
I	51	1	7	2	9	24b		24	b	24b
I	52	1	7	10	17	25a		25	a	25a
I	53	1	7	18	24	25b		25	b	25b
I	53	1	8	1	1	25b				25b
I	54	1	8	2	11	26a		26	a	26a
I	55	1	8	12	19	26b		26	b	26b
I	56	1	8	20	25	27a		27	a	27a
I	56	1	9	1	4	27a				27a
I	57	1	9	5	16	27b		27	b	27b
I	58	1	9	17	21	28a		28	a	28a
I	59	1	10	1	8	28b		28	b	28b
I	60	1	10	9	17	29a		29	a	29a
I	61	1	10	18	26	29b		29	b	29b
I	62	1	10	27	32	30a		30	a	30a
I	63	1	10	33	33	30b		30	b	30b
I	63	1	11	1	3	30b				30b
I	64	1	11	4	13	31a		31	a	31a
I	65	1	11	14	24	31b		31	b	31b
I	66	1	11	25	31	32a		32	a	32a
I	66	1	12	1	2	32a				32a
I	67	1	12	3	18	32b		32	b	32b
I	68	1	12	19	22	33a		33	a	33a
I	68	1	13	1	6	33a				33a
I	69	1	13	7	15	33b		33	b	33b
I	70	1	13	16	26	34a		34	a	34a
I	71	1	13	27	39	34b		34	b	34b
I	72	1	13	40	42	35a		35	a	35a
I	72	1	14	1	6	35a				35a
I	73	1	14	7	16	35b		35	b	35b
I	74	1	14	17	24	36a		36	a	36a
I	75	1	14	25	33	36b		36	b	36b
I	76	1	14	34	40	37a		37	a	37a
I	77	1	14	41	50	37b		37	b	37b
I	78	1	14	51	61	38a		38	a	38a
I	79	1	15	1	10	38b		38	b	38b
I	80	1	15	11	21	39a		39	a	39a
I	81	1	15	22	33	39b		39	b	39b
I	82	1	15	34	34	40a		40	a	40a
I	82	1	16	1	9	40a				40a
I	83	1	16	10	18	40b		40	b	40b
I	84	1	16	19	28	41a		41	a	41a
I	85	1	16	29	31	41b		41	b	41b
I	86	1	16	32	32	42a		42	a	42a
I	86	1	17	1	7	42a				42a
I	87	1	17	8	19	42b		42	b	42b
I	88	1	17	20	31	43a		43	a	43a
I	89	1	17	32	37	43b		43	b	43b
I	89	1	18	1	5	43b				43b
I	90	1	18	6	14	44a		44	a	44a
I	91	1	18	15	22	44b		44	b	44b
I	92	1	18	23	33	45a		45	a	45a
I	93	1	18	34	44	45b		45	b	45b
I	94	1	18	45	52	46a		46	a	46a
I	95	1	18	53	59	46b		46	b	46b
I	96	1	19	1	9	47a		47	a	47a
I	97	1	19	10	12	47b		47	b	47b
I	98	1	19	13	21	48a		48	a	48a
I	99	1	19	22	22	48b		48	b	48b
I	99	1	20	1	4	48b				48b
I	100	1	20	5	14	49a		49	a	49a
I	101	1	20	15	24	49b		49	b	49b
I	102	1	20	25	28	50a		50	a	50a
I	102	1	21	1	5	50a				50a
I	103	1	21	6	15	50b		50	b	50b
I	104	1	21	16	22	51a		51	a	51a
I	104	1	22	1	3	51a				51a
I	105	1	22	4	12	51b		51	b	51b
I	106	1	22	13	21	52a		52	a	52a
I	107	1	22	22	24	52b		52	b	52b
I	107	1	23	1	5	52b				52b
I	108	1	23	6	16	53a		53	a	53a
I	109	1	23	17	23	53b		53	b	53b
I	109	1	24	1	3	53b				53b
I	110	1	24	4	15	54a		54	a	54a
I	111	1	24	16	27	54b		54	b	54b
I	112	1	24	28	32	55a		55	a	55a
I	112	1	25	1	6	55a				55a
I	113	1	25	7	16	55b		55	b	55b
I	114	1	25	17	22	56a		56	a	56a
I	114	1	26	1	2	56a				56a
I	115	1	26	3	12	56b		56	b	56b
I	116	1	26	13	24	57a		57	a	57a
I	117	1	26	25	26	57b		57	b	57b
I	118	1	27	1	13	58a		58	a	58a
