номер страницы PDF файла нашего текста	adhyāya, то есть глава	номер начальной kaṇḍika на этой странице	номер последней kaṇḍika на этой странице
 page  	adhy. 	 from verse 	  to verse 
29	1	1	5
30	1	6	14
31	1	15	23
32	1	24	32
33	1	33	41
34	1	42	50
35	1	51	59
36	1	60	68
37	1	69	77
38	1	78	86
39	1	87	95
40	1	96	104
41	1	105	113
42	1	114	122
43	1	123	131
44	1	132	140
45	1	141	149
46	1	150	158
47	1	159	167
48	1	168	176
49	1	177	185
50	1	186	194
51	1	195	203
52	1	204	212
53	1	213	221
54	1	222	230
55	1	231	239
56	1	240	248
57	1	249	257
58	1	258	266
59	1	267	275
60	1	276	284
61	1	285	293
62	1	294	302
63	1	303	311
64	1	312	320
65	1	321	329
66	1	330	338
67	1	339	347
68	1	348	356
69	1	357	365
70	1	366	367
71	2	1	7
72	2	8	16
73	2	17	25
74	2	26	34
75	2	35	43
76	2	44	52
77	2	53	61
78	2	62	70
79	2	71	79
80	2	80	88
81	2	89	97
82	2	98	106
83	2	107	115
84	2	116	124
85	2	125	133
86	2	134	142
87	2	143	151
88	2	152	160
89	2	161	169
90	2	170	178
91	2	179	187
92	2	188	196
93	2	197	205
94	2	206	214
95	2	215	223
96	2	224	232
97	2	233	241
98	2	242	250
99	2	251	259
100	2	260	268
101	2	269	277
102	2	278	286
103	2	287	295
104	2	296	304
105	2	305	307
106	3	1	7
107	3	8	16
108	3	17	25
109	3	26	34
110	3	35	43
111	3	44	52
112	3	53	61
113	3	62	70
114	3	71	79
115	3	80	88
116	3	89	97
117	3	98	106
118	3	107	115
119	3	116	124
120	3	125	133
121	3	134	142
122	3	143	151
123	3	152	160
124	3	161	169
125	3	170	178
126	3	179	187
127	3	188	196
128	3	197	205
129	3	206	214
130	3	215	223
131	3	224	232
132	3	233	241
133	3	242	250
134	3	251	259
135	3	260	268
136	3	269	277
137	3	278	286
138	3	287	295
139	3	296	304
140	3	305	313
141	3	314	322
142	3	323	331
143	3	332	335
